Я бы,имя,Библиотека форм,Идентификатор страницы,Содержится в,группа,Линия Источник,Линия назначения,Исходная стрелка,Стрелка назначения,Состояние,Текстовая область 1,Текстовая область 2,Текстовая область 3,Текстовая область 4,Текстовая область 5,Текстовая область 6,Текстовая область 7,Текстовая область 8,Текстовая область 9,Текстовая область 10,Текстовая область 11,Текстовая область 12,Текстовая область 13,Комментарии
1,Документ,,,,,,,,,Черновик,DATALOGICAL_CURSACH,,,,,,,,,,,,,
2,страница,,,,,,,,,,ER-диаграмма базы данных (с «вороньими лапками»),,,,,,,,,,,,,
3,сущность,Отношения сущностей,2,,,,,,,,Family,id,integer,craft_type_id,integer,,,,,,,,,
4,сущность,Отношения сущностей,2,,,,,,,,Person,id,integer,name,text,motherland_id,integer,family_id,integer,,,,,
5,сущность,Отношения сущностей,2,,,,,,,,Person_position_history,id,integer,person_id,integer,position_id,integer,dismissal_date,date,hire_date,date,,,"[{""Закрытые"":true,""Комментарии"":[{""Временная метка"":""2023-10-12T14:54:53.000Z"",""Создатель"":""Артемий Романов"",""Контент"":""id надо, потому что персон может несколько раз вставать на одну позицию\nИли считаешь, что дату в первичный ключ?""}]},{""Закрытые"":false,""Комментарии"":[{""Временная метка"":""2023-11-05T19:13:37.000Z"",""Создатель"":""Артемий Романов"",""Контент"":""hire_date <= dismissal_date\nhire_date NOT NULL""}]}]"
6,сущность,Отношения сущностей,2,,,,,,,,Position,id,integer,name,text,,,,,,,,,"[{""Закрытые"":false,""Комментарии"":[{""Временная метка"":""2023-11-05T19:13:55.000Z"",""Создатель"":""Артемий Романов"",""Контент"":""name UNIQUE NOT NULL""}]}]"
7,сущность,Отношения сущностей,2,,,,,,,,Country,id,integer,name,text,leader_id,integer,,,,,,,"[{""Закрытые"":false,""Комментарии"":[{""Временная метка"":""2023-10-26T16:19:02.000Z"",""Создатель"":""Артемий Романов"",""Контент"":""leader_id On delete set null""}]}]"
8,сущность,Отношения сущностей,2,,,,,,,,Political_status,id,integer,name,text,,,,,,,,,"[{""Закрытые"":false,""Комментарии"":[{""Временная метка"":""2023-11-05T19:28:27.000Z"",""Создатель"":""Артемий Романов"",""Контент"":""name UNIQUE NOT NULL""}]}]"
9,сущность,Отношения сущностей,2,,,,,,,,Resource,id,integer,resource_storage_id,integer,initial_quantity,double precision,,,,,,,"[{""Закрытые"":false,""Комментарии"":[{""Временная метка"":""2023-11-05T18:03:10.000Z"",""Создатель"":""Артемий Романов"",""Контент"":""initial_quantity > 0\nNot null""}]}]"
10,сущность,Отношения сущностей,2,,,,,,,,Resource_type,id,integer,resource_type,text,,,,,,,,,"[{""Закрытые"":false,""Комментарии"":[{""Временная метка"":""2023-11-05T18:05:23.000Z"",""Создатель"":""Артемий Романов"",""Контент"":""resource_type unique""}]}]"
11,сущность,Отношения сущностей,2,,,,,,,,Country_relationship_event_history,id,integer,event_groups_id,integer,political_status_id,integer,start_event_date,date,end_event_date,date,,,"[{""Закрытые"":false,""Комментарии"":[{""Временная метка"":""2023-11-05T19:32:42.000Z"",""Создатель"":""Артемий Романов"",""Контент"":""start date <= end date\nstart not null\nevent_groups count > 2""}]}]"
12,сущность,Отношения сущностей,2,,,,,,,,Family_resource_ownership,family_id,integer,resource_id,integer,quantity,double precision,,,,,,,"[{""Закрытые"":false,""Комментарии"":[{""Временная метка"":""2023-11-05T18:03:26.000Z"",""Создатель"":""Артемий Романов"",""Контент"":""quantity >= 0 \nNot NULL""}]}]"
13,сущность,Отношения сущностей,2,,,,,,,,Resource_storage,id,integer,resource_type_id,integer,total_quantity,double precision,,,,,,,"[{""Закрытые"":false,""Комментарии"":[{""Временная метка"":""2023-11-05T18:02:52.000Z"",""Создатель"":""Артемий Романов"",""Контент"":""total_quantity >= 0\nNot null""}]}]"
14,сущность,Отношения сущностей,2,,,,,,,,Report,id,integer,title,text,text,text,sender_id,integer,receiver_id,integer,delievered,boolean,"[{""Закрытые"":false,""Комментарии"":[{""Временная метка"":""2023-11-05T20:02:20.000Z"",""Создатель"":""Артемий Романов"",""Контент"":""sender, receiver on update cascade on delete set null\ndelivered not null\ntitle, text not null""}]}]"
15,сущность,Отношения сущностей,2,,,,,,,,Building_construction_artefact,building_id,integer,responsible_person_id,integer,construction_beginig,date,construction_end,date,,,,,"[{""Закрытые"":false,""Комментарии"":[{""Временная метка"":""2023-11-05T20:18:58.000Z"",""Создатель"":""Артемий Романов"",""Контент"":""building on update cascade on delete set null(пока)\nresponsible_person on update cascade on delete set null\nend date > beggining date""}]}]"
